date	clade
2020/01/01	Unassigned
2020/04/10	I/A3i
2020/09	A2a
2020/09	A2a
2020/04/06	A2a
2020/04/06	A2a
2020/04/06	A2a
2020/04/08	A2a
2020/04/10	I/A3i
2020/04/10	I/A3i
2020/04/12	A2a
2020/04/13	I/A3i
2020/04/14	I/A3i
2020/04/14	I/A3i
2020/05/01	I/A3i
2020/05/01	I/A3i
2020/05/03	A3
2020/04/14	I/A3i
2020/04/01	Unassigned
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/04/15	I/A3i
2020/05/04	I/A3i
2020/05/04	I/A3i
2020/04/06	A2a
2020/05/06	A3
2020/05/06	A3
2020/05/06	A3
2020/05/06	A3
2020/05/06	I/A3i
2020/05/09	B4
2020/05/09	I/A3i
2020/04/14	A2a
2020/04/14	A2a
2020/04/15	A2a
2020/05/10	A2a
2020/04/15	I/A3i
2020/04/15	I/A3i
2020/04/15	I/A3i
2020/05/10	B4
2020/05/10	B4
2020/05/10	B4
2020/05/10	A2a
2020/05/10	I/A3i
2020/05/08	I/A3i
2020/05/08	I/A3i
2020/04/15	Unassigned
2020/05/11	A2a
2020/04/16	Unassigned
2020/05/10	I/A3i
2020/05/10	I/A3i
2020/05/10	I/A3i
2020/05/10	I/A3i
2020/05/10	I/A3i
2020/04/17	I/A3i
2020/04/17	I/A3i
2020/04/16	I/A3i
2020/05/12	A3
2020/05/12	A3
2020/05/13	I/A3i
2020/05/14	A3
2020/05/14	A3
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	I/A3i
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/04/21	Unassigned
2020/04/22	A2a
2020/04/22	A2a
2020/04/22	A2a
2020/04/23	I/A3i
2020/04/23	A2a
2020/04/23	A2a
2020/04/23	A2a
2020/04/23	A2a
2020/04/23	A2a
2020/04/23	A2a
2020/04/23	I/A3i
